CONTROL_SECTION,LOGMILE_FROM,LOGMILE_TO,LENGTH,AVG_ADT,FUNCTIONAL_CLASS,HIGHWAY_CLASS,CLASS_DESC,MED_TYPE,MED_TYPE_DESC,MEDIAN_WIDTH,MED_PRESENCE,NUM_LANES,PAVEMENT_WIDTH,AVG_LANE_WIDTH,INTERSECTION,TOT_CRASH,AVG_CRASH
034-06,1.73,1.93,0.2,14600,14,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,4,1.33
034-06,1.66,1.73,0.07,14680,14,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,5,1.67
034-06,0.29,0.43,0.14,7600,14,5,Urban 2 Lane,1,Undivided,0,0,2,27,13.5,0,9,3.00
034-06,0.05,0.16,0.11,7800,14,6,Urban 4 Lane,1,Undivided,0,0,4,39,9.75,0,21,7.00
034-06,0.16,0.22,0.06,7800,14,6,Urban 4 Lane,1,Undivided,0,0,4,39,9.75,0,8,2.67
034-06,0,0.05,0.05,7800,14,6,Urban 4 Lane,1,Undivided,0,0,4,40,10,0,7,2.33
034-30,3.59,4.04,0.45,13163,14,7,Urban 4 Lane Divided,4,Divided <30 ft,9,1,4,48,12,0,8,2.67
034-30,4.04,4.86,0.82,13219,14,7,Urban 4 Lane Divided,4,Divided <30 ft,9,1,4,48,12,0,31,10.33
034-30,3.25,3.59,0.34,13317,14,7,Urban 4 Lane Divided,4,Divided <30 ft,9,1,4,48,12,0,6,2.00
034-30,6,6.03,0.03,9200,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,1,0.33
034-30,6.03,8.7,2.67,10800,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,10,3.33
034-30,0.09,1.26,1.17,4671,14,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,7,2.33
034-30,1.26,1.77,0.51,4680,14,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,5,1.67
034-30,5.5,5.77,0.27,11333,14,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,3,1.00
034-30,5.77,6,0.23,11520,14,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,5,1.67
034-30,4.86,5.5,0.64,11600,14,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,14,4.67
034-30,2.91,3.25,0.34,12950,14,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,6,2.00
034-30,1.77,2.91,1.14,13064,14,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,14,4.67
035-01,5.02,10.61,5.59,2542,7,1,Rural 2 Lane,1,Undivided,0,0,2,20,10,0,19,6.33
035-01,3.18,3.73,0.55,2500,7,1,Rural 2 Lane,1,Undivided,0,0,2,22,11,0,1,0.33
035-01,3.73,5.02,1.29,2500,7,1,Rural 2 Lane,1,Undivided,0,0,2,22,11,0,3,1.00
035-01,1.42,3.18,1.76,2543,7,1,Rural 2 Lane,1,Undivided,0,0,2,22,11,0,7,2.33
035-01,0,1.42,1.42,2560,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,5,1.67
035-02,0,3.49,3.49,1998,7,1,Rural 2 Lane,1,Undivided,0,0,2,20,10,0,5,1.67
035-02,3.98,6.57,2.59,2700,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,3,1.00
035-02,3.49,3.98,0.49,1930,7,1,Rural 2 Lane,1,Undivided,0,0,2,26,13,0,1,0.33
035-02,7.84,9.31,1.47,2600,7,1,Rural 2 Lane,1,Undivided,0,0,2,26,13,0,1,0.33
035-03,7.67,14.95,7.28,2600,7,1,Rural 2 Lane,1,Undivided,0,0,2,20,10,0,11,3.67
035-03,0,7.67,7.67,2593,7,1,Rural 2 Lane,1,Undivided,0,0,2,22,11,0,15,5.00
035-03,14.95,17.52,2.57,4400,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,6,2.00
035-03,18.16,19.03,0.87,2440,16,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,5,1.67
035-03,17.86,18.16,0.3,4400,16,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,1,0.33
035-04,0.81,11,10.19,4980,7,1,Rural 2 Lane,1,Undivided,0,0,2,22,11,0,61,20.33
035-04,0.68,0.81,0.13,4800,16,5,Urban 2 Lane,1,Undivided,0,0,2,22,11,0,1,0.33
035-04,0,0.68,0.68,14931,16,5,Urban 2 Lane,1,Undivided,0,0,2,22,11,0,29,9.67
035-05,2,2.62,0.62,11760,7,3,Rural 4 Lane Divided,4,Divided <30 ft,10,1,4,44,11,0,5,1.67
035-05,5.22,5.47,0.25,1430,7,1,Rural 2 Lane,1,Undivided,0,0,2,20,10,0,1,0.33
035-05,5.47,6.45,0.98,1463,7,1,Rural 2 Lane,1,Undivided,0,0,2,20,10,0,3,1.00
035-05,6.45,9.87,3.42,1478,7,1,Rural 2 Lane,1,Undivided,0,0,2,20,10,0,5,1.67
035-05,0,2,2,11629,7,1,Rural 2 Lane,1,Undivided,0,0,2,22,11,0,17,5.67
035-05,4.15,5.22,1.07,11686,7,1,Rural 2 Lane,1,Undivided,0,0,2,22,11,0,7,2.33
035-05,2.62,4.15,1.53,11750,7,1,Rural 2 Lane,1,Undivided,0,0,2,22,11,0,4,1.33
035-06,0,4.11,4.11,1473,7,1,Rural 2 Lane,1,Undivided,0,0,2,20,10,0,13,4.33
036-01,4.72,10.23,5.51,1540,6,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,1,0.33
036-01,1.35,4.72,3.37,1770,6,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,1,0.33
036-01,0,1.35,1.35,3840,6,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,5,1.67
036-02,4.77,6.93,2.16,813,6,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,3,1.00
036-02,2.02,4.77,2.75,835,6,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,4,1.33
036-03,0,5.08,5.08,1095,6,1,Rural 2 Lane,1,Undivided,0,0,2,22,11,0,4,1.33
036-03,6.17,7.11,0.94,2900,6,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,2,0.67
036-03,7.43,8.56,1.13,2940,16,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,5,1.67
036-03,8.73,9.3,0.57,5175,16,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,4,1.33
036-04,9.8,16.59,6.79,1253,7,1,Rural 2 Lane,1,Undivided,0,0,2,22,11,0,8,2.67
036-04,7.52,9.8,2.28,1533,7,1,Rural 2 Lane,1,Undivided,0,0,2,22,11,0,4,1.33
036-04,3.2,7.09,3.89,3300,7,1,Rural 2 Lane,1,Undivided,0,0,2,22,11,0,4,1.33
036-04,1.51,2.18,0.67,3200,16,5,Urban 2 Lane,1,Undivided,0,0,2,22,11,0,1,0.33
036-04,2.65,3.2,0.55,3200,16,5,Urban 2 Lane,1,Undivided,0,0,2,22,11,0,1,0.33
036-04,0.62,1.13,0.51,8500,16,6,Urban 4 Lane,1,Undivided,0,0,4,50,12.5,0,1,0.33
036-04,1.39,1.51,0.12,8500,16,6,Urban 4 Lane,1,Undivided,0,0,4,50,12.5,0,2,0.67
036-05,2.32,5.22,2.9,605,7,1,Rural 2 Lane,1,Undivided,0,0,2,22,11,0,2,0.67
036-06,0,3.48,3.48,530,7,1,Rural 2 Lane,1,Undivided,0,0,2,22,11,0,1,0.33
036-06,3.48,7.72,4.24,540,7,1,Rural 2 Lane,1,Undivided,0,0,2,22,11,0,1,0.33
037-01,6,9.71,3.71,2425,6,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,4,1.33
037-01,0.55,3.36,2.81,3133,6,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,6,2.00
037-01,3.36,6,2.64,3140,6,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,5,1.67
037-01,0.04,0,0.04,5500,6,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,1,0.33
037-02,8.36,9.01,0.65,1110,6,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,1,0.33
037-02,12.96,13.52,0.56,1135,6,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,2,0.67
037-02,9.01,12.96,3.95,1143,6,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,3,1.00
037-02,2.17,6.32,4.15,2425,6,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,4,1.33
037-02,0,2.17,2.17,2600,6,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,2,0.67
037-02,13.68,13.95,0.27,4300,6,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,2,0.67
037-02,13.52,13.68,0.16,4600,6,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,1,0.33
037-02,14.04,14.19,0.15,7400,6,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,1,0.33
037-03,0.75,2.86,2.11,3400,6,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,7,2.33
037-03,0.21,0.45,0.24,3800,6,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,1,0.33
037-03,0.45,0.75,0.3,3800,6,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,1,0.33
037-03,0,0.21,0.21,6900,6,2,Rural 4 Lane,1,Undivided,0,0,4,54,13.5,0,2,0.67
037-04,0,6.94,6.94,2240,6,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,5,1.67
038-01,1.92,2.11,0.19,14575,16,7,Urban 4 Lane Divided,9,Continuous Turn Lane,0,0,4,52,13,0,4,1.33
038-01,1.25,1.63,0.38,14612,16,7,Urban 4 Lane Divided,9,Continuous Turn Lane,0,0,4,48,12,0,17,5.67
038-01,1.63,1.92,0.29,14644,16,7,Urban 4 Lane Divided,9,Continuous Turn Lane,0,0,4,48,12,0,16,5.33
038-01,0,1.25,1.25,17191,16,7,Urban 4 Lane Divided,9,Continuous Turn Lane,0,0,4,48,12,0,33,11.00
038-01,8.59,8.95,0.36,4850,7,1,Rural 2 Lane,1,Undivided,0,0,2,22,11,0,2,0.67
038-01,8.95,11.57,2.62,4890,7,1,Rural 2 Lane,1,Undivided,0,0,2,22,11,0,20,6.67
038-01,6.29,8.59,2.3,4931,7,1,Rural 2 Lane,1,Undivided,0,0,2,22,11,0,13,4.33
038-01,4.72,6.29,1.57,4911,16,5,Urban 2 Lane,1,Undivided,0,0,2,22,11,0,19,6.33
038-01,2.11,4.72,2.61,4919,16,6,Urban 4 Lane,1,Undivided,0,0,4,52,13,0,32,10.67
038-02,8.33,8.52,0.19,9211,16,5,Urban 2 Lane,3,1 Way Couplet,0,0,2,24,12,0,9,3.00
038-02,8.52,8.57,0.05,9950,16,5,Urban 2 Lane,3,1 Way Couplet,0,0,2,24,12,0,6,2.00
038-02,0,6.57,6.57,3321,7,1,Rural 2 Lane,1,Undivided,0,0,2,22,11,0,38,12.67
038-02,6.57,7.11,0.54,3400,16,5,Urban 2 Lane,1,Undivided,0,0,2,22,11,0,4,1.33
038-02,7.11,7.59,0.48,4800,16,5,Urban 2 Lane,1,Undivided,0,0,2,22,11,0,3,1.00
038-02,7.59,7.64,0.05,4600,16,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,1,0.33
038-02,7.64,8.29,0.65,4760,16,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,5,1.67
038-02,8.29,8.33,0.04,4800,16,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,1,0.33
038-03,0.32,0.4,0.08,13200,14,6,Urban 4 Lane,3,1 Way Couplet,30,0,4,52,13,0,2,0.67
038-03,0.14,0.21,0.07,14825,14,6,Urban 4 Lane,3,1 Way Couplet,30,0,4,58,14.5,0,8,2.67
038-03,0.21,0.27,0.06,13700,14,6,Urban 4 Lane,3,1 Way Couplet,30,0,6,64,10.66666667,0,1,0.33
038-03,0.07,0.14,0.07,14825,14,6,Urban 4 Lane,3,1 Way Couplet,30,0,6,74,12.33333333,0,8,2.67
038-03,0,0.07,0.07,16700,14,6,Urban 4 Lane,3,1 Way Couplet,30,0,6,98,16.33333333,0,7,2.33
038-03,4.43,7.01,2.58,7150,2,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,8,2.67
038-03,2.33,4.43,2.1,9783,2,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,6,2.00
038-03,7.01,9.61,2.6,7100,2,2,Rural 4 Lane,1,Undivided,0,0,4,48,12,0,2,0.67
038-03,1.49,2.07,0.58,2900,14,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,1,0.33
038-03,2.07,2.33,0.26,9800,14,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,2,0.67
038-03,0.4,1.43,1.03,2900,14,6,Urban 4 Lane,1,Undivided,0,0,4,45,11.25,0,35,11.67
038-04,0,8.76,8.76,3186,6,1,Rural 2 Lane,1,Undivided,0,0,2,22,11,0,21,7.00
038-30,0,7.26,7.26,1894,2,2,Rural 4 Lane,1,Undivided,0,0,4,48,12,0,5,1.67
039-01,0,0.52,0.52,810,9,1,Rural 2 Lane,1,Undivided,0,0,2,20,10,0,1,0.33
039-01,0.52,4.62,4.1,846,9,1,Rural 2 Lane,1,Undivided,0,0,2,20,10,0,5,1.67
039-03,4.83,7.63,2.8,753,7,1,Rural 2 Lane,1,Undivided,0,0,2,22,11,0,3,1.00
039-04,0.94,3.57,2.63,1700,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,2,0.67
039-04,3.57,11.57,8,1700,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,9,3.00
040-01,3.79,11.24,7.45,1520,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,16,5.33
040-02,0,4.96,4.96,2500,7,1,Rural 2 Lane,1,Undivided,0,0,2,20,10,0,4,1.33
040-03,4.99,7.91,2.92,2700,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,3,1.00
040-03,7.91,9.16,1.25,2700,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,1,0.33
040-03,0.69,4.99,4.3,3200,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,10,3.33
040-04,8.02,9.35,1.33,2700,7,1,Rural 2 Lane,1,Undivided,0,0,2,20,10,0,2,0.67
040-04,9.35,11.24,1.89,650,9,1,Rural 2 Lane,1,Undivided,0,0,2,20,10,0,1,0.33
040-04,0.17,4.7,4.53,2700,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,4,1.33
040-04,4.7,8.02,3.32,2700,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,2,0.67
040-32,0.17,0.59,0.42,370,7,1,Rural 2 Lane,1,Undivided,0,0,2,22,11,0,1,0.33
041-01,4.56,2.97,1.59,3480,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,5,1.67
041-01,8.79,7.9,0.89,3500,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,1,0.33
041-01,7.9,4.56,3.34,3550,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,4,1.33
041-01,2.97,0.41,2.56,4281,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,16,5.33
041-01,0.41,0.21,0.2,5100,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,1,0.33
041-02,1.92,0.39,1.53,545,8,1,Rural 2 Lane,1,Undivided,0,0,2,20,10,0,4,1.33
041-02,13.77,4.29,9.48,560,8,1,Rural 2 Lane,1,Undivided,0,0,2,20,10,0,8,2.67
041-03,9.64,9.11,0.53,162,7,1,Rural 2 Lane,1,Undivided,0,0,2,20,10,0,1,0.33
041-03,9.11,4.4,4.71,163,8,1,Rural 2 Lane,1,Undivided,0,0,2,20,10,0,4,1.33
041-03,1.42,0,1.42,210,8,1,Rural 2 Lane,1,Undivided,0,0,2,20,10,0,1,0.33
041-04,3.18,0,3.18,180,7,1,Rural 2 Lane,1,Undivided,0,0,2,20,10,0,1,0.33
041-05,9.7,6,3.7,345,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,4,1.33
042-02,4.8,5.15,0.35,2000,8,1,Rural 2 Lane,1,Undivided,0,0,2,18,9,0,1,0.33
042-02,1,2.4,1.4,2000,8,1,Rural 2 Lane,1,Undivided,0,0,2,20,10,0,3,1.00
042-02,2.4,4.8,2.4,2000,8,1,Rural 2 Lane,1,Undivided,0,0,2,20,10,0,8,2.67
042-03,0,9.2,9.2,770,7,1,Rural 2 Lane,1,Undivided,0,0,2,20,10,0,17,5.67
042-03,9.2,9.85,0.65,770,7,1,Rural 2 Lane,1,Undivided,0,0,2,20,10,0,1,0.33
042-04,0,4.15,4.15,1018,7,1,Rural 2 Lane,1,Undivided,0,0,2,20,10,0,12,4.00
042-05,0,3.6,3.6,1688,8,1,Rural 2 Lane,1,Undivided,0,0,2,20,10,0,10,3.33
042-05,10.09,10.59,0.5,2100,8,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,2,0.67
042-05,4,10.09,6.09,4994,8,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,16,5.33
042-07,6.47,7.04,0.57,51,8,1,Rural 2 Lane,1,Undivided,0,0,2,20,10,0,2,0.67
042-07,7.04,9.72,2.68,53,8,1,Rural 2 Lane,1,Undivided,0,0,2,20,10,0,4,1.33
042-07,1.65,5.88,4.23,460,8,1,Rural 2 Lane,1,Undivided,0,0,2,20,10,0,5,1.67
042-07,5.88,6.47,0.59,470,8,1,Rural 2 Lane,1,Undivided,0,0,2,20,10,0,1,0.33
042-07,0.36,1.56,1.2,480,8,1,Rural 2 Lane,1,Undivided,0,0,2,20,10,0,2,0.67
042-07,9.72,11.08,1.36,56,8,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,3,1.00
043-01,1.99,3.97,1.98,2850,7,1,Rural 2 Lane,1,Undivided,0,0,2,22,11,0,4,1.33
043-01,0.91,1.99,1.08,2850,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,2,0.67
043-02,0,5.94,5.94,2686,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,14,4.67
043-02,5.94,11.9,5.96,2709,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,11,3.67
043-03,0,4.42,4.42,2700,7,1,Rural 2 Lane,1,Undivided,0,0,2,28,14,0,2,0.67
043-04,0,2.58,2.58,2400,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,4,1.33
043-04,2.58,3.05,0.47,2400,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,1,0.33
043-04,3.05,3.45,0.4,4800,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,1,0.33
043-04,3.45,4.01,0.56,5500,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,1,0.33
043-05,0.63,1.22,0.59,1480,8,1,Rural 2 Lane,1,Undivided,0,0,2,18,9,0,1,0.33
043-05,1.22,1.48,0.26,1480,8,1,Rural 2 Lane,1,Undivided,0,0,2,18,9,0,1,0.33
043-05,2,2.77,0.77,3760,7,1,Rural 2 Lane,1,Undivided,0,0,2,20,10,0,5,1.67
043-05,2.77,4.13,1.36,2825,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,4,1.33
043-05,0.05,0.33,0.28,8050,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,2,0.67
043-06,0,5.29,5.29,2700,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,6,2.00
043-06,6.97,13.52,6.55,3273,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,15,5.00
043-06,5.42,6.97,1.55,3283,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,6,2.00
043-06,13.52,14.38,0.86,3500,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,2,0.67
044-01,0,0.32,0.32,19194,14,7,Urban 4 Lane Divided,9,Continuous Turn Lane,0,0,4,49,12.25,0,32,10.67
044-01,0.71,2.31,1.6,26218,14,7,Urban 4 Lane Divided,9,Continuous Turn Lane,0,0,4,48,12,0,232,77.33
044-01,2.31,2.8,0.49,23263,14,7,Urban 4 Lane Divided,9,Continuous Turn Lane,0,0,4,48,12,0,32,10.67
044-01,3.14,4.67,1.53,23386,14,7,Urban 4 Lane Divided,9,Continuous Turn Lane,0,0,4,48,12,0,50,16.67
044-01,8.16,8.73,0.57,23950,6,3,Rural 4 Lane Divided,4,Divided <30 ft,22,1,4,48,12,0,2,0.67
044-01,8.73,11.46,2.73,23759,6,3,Rural 4 Lane Divided,4,Divided <30 ft,30,1,4,48,12,0,22,7.33
044-01,2.8,3.14,0.34,23558,14,7,Urban 4 Lane Divided,4,Divided <30 ft,10,1,4,48,12,0,53,17.67
044-01,4.67,6.59,1.92,23317,14,7,Urban 4 Lane Divided,4,Divided <30 ft,22,1,4,48,12,0,35,11.67
044-01,6.59,8.16,1.57,23638,14,7,Urban 4 Lane Divided,4,Divided <30 ft,22,1,4,48,12,0,34,11.33
044-01,11.46,12.89,1.43,11578,6,2,Rural 4 Lane,1,Undivided,0,0,4,52,13,0,18,6.00
044-01,0.32,0.71,0.39,24391,14,6,Urban 4 Lane,1,Undivided,0,0,4,49,12.25,0,11,3.67
044-02,7.83,11.24,3.41,5673,6,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,15,5.00
044-02,11.24,14.24,3,5733,6,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,9,3.00
044-02,14.24,14.79,0.55,6000,6,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,1,0.33
044-02,1.9,6.58,4.68,6350,6,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,16,5.33
044-02,0.37,1.9,1.53,6367,6,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,12,4.00
044-02,0,0.37,0.37,6514,6,2,Rural 4 Lane,1,Undivided,0,0,4,52,13,0,7,2.33
044-03,3.16,8.08,4.92,2267,6,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,15,5.00
044-03,0.64,3.16,2.52,3367,6,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,6,2.00
044-03,0,0.64,0.64,3800,6,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,1,0.33
045-01,3.25,4.03,0.78,6200,14,7,Urban 4 Lane Divided,9,Continuous Turn Lane,0,0,4,48,12,0,6,2.00
045-01,0.47,3.25,2.78,6496,14,7,Urban 4 Lane Divided,9,Continuous Turn Lane,0,0,4,48,12,0,74,24.67
045-01,6.33,6.8,0.47,6500,6,3,Rural 4 Lane Divided,5,Divided >30 ft,36,1,4,48,12,0,6,2.00
045-01,4.03,6.33,2.3,6200,14,7,Urban 4 Lane Divided,5,Divided >30 ft,36,1,4,48,12,0,15,5.00
045-01,0,0.47,0.47,19367,14,7,Urban 4 Lane Divided,5,Divided >30 ft,250,1,4,44,11,0,3,1.00
045-01,6.8,11.65,4.85,6429,6,1,Rural 2 Lane,1,Undivided,0,0,2,22,11,0,34,11.33
045-01,11.65,13.85,2.2,6575,6,1,Rural 2 Lane,1,Undivided,0,0,2,22,11,0,12,4.00
045-02,0,1.5,1.5,7080,6,1,Rural 2 Lane,1,Undivided,0,0,2,22,11,0,10,3.33
045-02,3.31,6.13,2.82,7100,6,1,Rural 2 Lane,1,Undivided,0,0,2,22,11,0,9,3.00
045-02,1.5,3.31,1.81,7400,6,1,Rural 2 Lane,1,Undivided,0,0,2,22,11,0,1,0.33
045-02,6.95,9.33,2.38,6756,6,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,9,3.00
045-02,6.13,6.95,0.82,7022,6,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,9,3.00
045-02,9.33,10.31,0.98,8000,6,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,6,2.00
045-02,10.31,10.37,0.06,8000,6,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,1,0.33
045-02,10.63,11.15,0.52,8000,6,2,Rural 4 Lane,1,Undivided,0,0,4,44,11,0,1,0.33
045-03,7.07,11.01,3.94,1982,6,1,Rural 2 Lane,1,Undivided,0,0,2,22,11,0,10,3.33
045-03,5.96,6.51,0.55,2400,6,1,Rural 2 Lane,1,Undivided,0,0,2,22,11,0,2,0.67
045-03,3.79,5.12,1.33,2417,6,1,Rural 2 Lane,1,Undivided,0,0,2,22,11,0,6,2.00
045-03,1.2,3.79,2.59,3567,6,1,Rural 2 Lane,1,Undivided,0,0,2,22,11,0,12,4.00
045-03,0,0.38,0.38,3600,6,1,Rural 2 Lane,1,Undivided,0,0,2,22,11,0,2,0.67
045-03,0.38,1.2,0.82,3600,6,1,Rural 2 Lane,1,Undivided,0,0,2,22,11,0,1,0.33
045-30,4.59,0,4.59,1827,7,1,Rural 2 Lane,1,Undivided,0,0,2,20,10,0,18,6.00
045-31,0,1.38,1.38,380,7,1,Rural 2 Lane,,,0,0,2,24,12,0,3,1.00
045-31,1.38,2.98,1.6,380,7,1,Rural 2 Lane,,,0,0,2,24,12,0,4,1.33
045-31,4.35,6.98,2.63,380,7,1,Rural 2 Lane,,,0,0,2,24,12,0,2,0.67
046-02,2.47,3.6,1.13,21083,14,7,Urban 4 Lane Divided,5,Divided >30 ft,32,1,4,48,12,0,48,16.00
046-02,0.32,0.58,0.26,25850,14,7,Urban 4 Lane Divided,5,Divided >30 ft,33,1,4,48,12,0,28,9.33
046-02,0.58,1.9,1.32,26132,14,7,Urban 4 Lane Divided,5,Divided >30 ft,33,1,4,48,12,0,108,36.00
046-02,0.26,0.32,0.06,31800,14,7,Urban 4 Lane Divided,5,Divided >30 ft,37,1,6,88,14.66666667,0,3,1.00
046-02,0,0.26,0.26,28200,14,7,Urban 4 Lane Divided,5,Divided >30 ft,63,1,6,88,14.66666667,0,12,4.00
046-02,1.9,2.47,0.57,24644,14,6,Urban 4 Lane,1,Undivided,0,0,4,48,12,0,34,11.33
046-03,2.91,3.12,0.21,21700,16,7,Urban 4 Lane Divided,4,Divided <30 ft,12,1,4,44,11,0,17,5.67
046-03,0.3,0.48,0.18,20538,14,7,Urban 4 Lane Divided,4,Divided <30 ft,15,1,4,44,11,0,26,8.67
046-03,0.48,1.08,0.6,23300,14,7,Urban 4 Lane Divided,4,Divided <30 ft,15,1,4,44,11,0,32,10.67
046-03,1.08,2.91,1.83,23300,14,7,Urban 4 Lane Divided,4,Divided <30 ft,35,1,4,44,11,0,94,31.33
046-03,0,0.3,0.3,22160,14,7,Urban 4 Lane Divided,4,Divided <30 ft,40,1,4,52,13,0,20,6.67
046-03,4.86,5.6,0.74,21700,16,5,Urban 2 Lane,1,Undivided,0,0,2,22,11,0,11,3.67
046-03,11.49,10.28,1.21,6000,16,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,5,1.67
046-03,7.69,8.87,1.18,9425,16,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,16,5.33
046-03,8.87,10.28,1.41,9430,16,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,30,10.00
046-03,4.34,4.86,0.52,21700,16,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,13,4.33
046-03,5.6,6.6,1,21700,16,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,13,4.33
046-03,6.6,7.23,0.63,21700,16,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,23,7.67
046-03,7.23,7.69,0.46,21700,16,5,Urban 2 Lane,1,Undivided,0,0,2,24,12,0,7,2.33
046-03,3.12,4.34,1.22,21700,16,5,Urban 2 Lane,1,Undivided,0,0,2,22,11,0,31,10.33
046-04,5.6,5.26,0.34,1940,7,1,Rural 2 Lane,1,Undivided,0,0,2,24,12,0,3,1.00
